model,term,beta,p
A. FINE baseline (L0..L3),tee3_perp,0.004315484420696977,2.1901630811259616e-11
A. FINE baseline (L0..L3),tee3_perp_L1,0.0015601849800171465,0.06318715454154483
A. FINE baseline (L0..L3),tee3_perp_L2,-0.0033805454203223936,4.856439770408813e-06
A. FINE baseline (L0..L3),tee3_perp_L3,-0.00037112674788651254,0.5765175072998627
A. FINE baseline (L0..L3),tee3_par,0.0022706870836783632,0.002108845702903639
A. FINE baseline (L0..L3),tee3_par_L1,0.004499951350802341,7.710586315654644e-10
A. FINE baseline (L0..L3),tee3_par_L2,-0.0025339351963877405,0.00011803000487667642
A. FINE baseline (L0..L3),tee3_par_L3,-0.0006773961064315444,0.18081968468129217
A. FINE baseline (L0..L3),surprisal,0.0071576420475962105,2.007102301028516e-20
A. FINE baseline (L0..L3),surprisal_L1,0.010896775843914484,1.9989931085107062e-47
A. FINE baseline (L0..L3),surprisal_L2,0.0015611835486320051,0.025522649381036048
A. FINE baseline (L0..L3),surprisal_L3,-0.0021172646311097,0.0006727014789366944
A. FINE baseline (L0..L3),word_length,0.013477529621226864,4.7363543085370115e-46
A. FINE baseline (L0..L3),word_length_L1,0.007318291164124378,1.3385554823185862e-18
A. FINE baseline (L0..L3),word_length_L2,-0.006295259541626595,1.0509782437073002e-15
A. FINE baseline (L0..L3),word_length_L3,-0.002127464627879702,0.0019286886182824613
A. FINE baseline (L0..L3),log_freq,0.004719547738510466,8.510473989771217e-07
A. FINE baseline (L0..L3),log_freq_L1,0.00034678801381757274,0.7076034554559685
A. FINE baseline (L0..L3),log_freq_L2,-0.002474099191397062,0.008353325827577142
A. FINE baseline (L0..L3),log_freq_L3,-0.0008137458379650839,0.3213971255282022
A. FINE baseline (L0..L3),has_trailing_punct,0.005085228516409298,6.928049626435697e-14
A. FINE baseline (L0..L3),has_trailing_punct_L1,0.01276664935253402,2.4390360393269412e-73
A. FINE baseline (L0..L3),has_trailing_punct_L2,-0.0024649943627875655,0.0005228778993029648
A. FINE baseline (L0..L3),has_trailing_punct_L3,-0.006720345671472845,3.7122177551421136e-26
B. FINE + COARSE (L0..L3),tee3_perp,0.003500290906971142,1.429143309812568e-05
B. FINE + COARSE (L0..L3),tee3_perp_L1,0.0010261030854821912,0.2911283640061275
B. FINE + COARSE (L0..L3),tee3_perp_L2,-0.003008962062761876,0.0004528228720301535
B. FINE + COARSE (L0..L3),tee3_perp_L3,-0.0010610269236578512,0.1742241840554536
B. FINE + COARSE (L0..L3),tee3_par,0.000852458908122699,0.2788861594644645
B. FINE + COARSE (L0..L3),tee3_par_L1,0.005125998214773969,2.4366349277725865e-10
B. FINE + COARSE (L0..L3),tee3_par_L2,-0.0018180961267898824,0.013372235437759016
B. FINE + COARSE (L0..L3),tee3_par_L3,-0.0007125336340866734,0.1717736728760364
B. FINE + COARSE (L0..L3),surprisal,0.007323973674469408,1.40657837591107e-21
B. FINE + COARSE (L0..L3),surprisal_L1,0.011477421411435654,1.5417194018561166e-53
B. FINE + COARSE (L0..L3),surprisal_L2,0.0013673272931456516,0.05287639430187421
B. FINE + COARSE (L0..L3),surprisal_L3,-0.0022195283615472836,0.00034271209146740695
B. FINE + COARSE (L0..L3),word_length,0.013267757706880205,8.214302819133236e-45
B. FINE + COARSE (L0..L3),word_length_L1,0.006780601078315653,4.728100204636983e-16
B. FINE + COARSE (L0..L3),word_length_L2,-0.006147857869431637,4.200652421474561e-15
B. FINE + COARSE (L0..L3),word_length_L3,-0.0019189812252657056,0.005911717855240247
B. FINE + COARSE (L0..L3),log_freq,0.0038613160514974626,7.424875582939062e-05
B. FINE + COARSE (L0..L3),log_freq_L1,-0.00023659348912355438,0.8059906268904593
B. FINE + COARSE (L0..L3),log_freq_L2,-0.0014556749533853677,0.15001134176715716
B. FINE + COARSE (L0..L3),log_freq_L3,2.4151438063564623e-05,0.9782308615057
B. FINE + COARSE (L0..L3),has_trailing_punct,0.004252753093002153,1.107917000206507e-09
B. FINE + COARSE (L0..L3),has_trailing_punct_L1,0.01209585861953414,1.6209275622595117e-63
B. FINE + COARSE (L0..L3),has_trailing_punct_L2,-0.001815426134270673,0.016958967128667814
B. FINE + COARSE (L0..L3),has_trailing_punct_L3,-0.006003381366724528,1.7440168381312192e-19
B. FINE + COARSE (L0..L3),ctee_m5,-0.00086466833159312,0.13609360801975506
B. FINE + COARSE (L0..L3),ctee_m5_L1,0.0007210761552343611,0.1918991169387384
B. FINE + COARSE (L0..L3),ctee_m5_L2,0.00044269231023404305,0.40881346880873615
B. FINE + COARSE (L0..L3),ctee_m5_L3,0.00026437633729519197,0.6696473989949185
B. FINE + COARSE (L0..L3),ctee_m10,-0.0003396343818126077,0.5790741329658091
B. FINE + COARSE (L0..L3),ctee_m10_L1,0.0005398755542682272,0.37841866530898616
