tag,family,lag,term,beta,p,n
ALL,wake_rel,1,tee3_perp,0.11852129439714246,0.0011505055951105045,1627
ALL,wake_rel,1,tee3_par,0.000278945462185428,0.99150201289185,1627
ALL,wake_rel,1,surprisal,0.05718365660717956,0.07215268879464845,1627
ALL,wake_rel,1,ctee_m5,0.022477505269543903,0.3592872618064633,1627
ALL,wake_rel,1,ntee_k100,0.2189588266829366,7.357899627393299e-17,1627
ALL,wake_rel,2,tee3_perp,0.03718803341988009,0.300635054171018,1627
ALL,wake_rel,2,tee3_par,-0.06566882079072905,0.009714866824050674,1627
ALL,wake_rel,2,surprisal,0.14309242543563153,2.395597781670776e-06,1627
ALL,wake_rel,2,ctee_m5,0.008352897553808528,0.7393196790878342,1627
ALL,wake_rel,2,ntee_k100,0.20046637065390577,2.1385289154538088e-14,1627
ALL,wake_rel,3,tee3_perp,0.02897668371487843,0.41490511112726236,1627
ALL,wake_rel,3,tee3_par,-0.05326392156634016,0.03534413467049197,1627
ALL,wake_rel,3,surprisal,0.08123867435161033,0.005798029542982375,1627
ALL,wake_rel,3,ctee_m5,-0.03310965538972256,0.21204571430126773,1627
ALL,wake_rel,3,ntee_k100,0.18971108486134317,5.854502983560722e-13,1627
ALL,wake_rel,4,tee3_perp,0.004656910800990951,0.8935146892879278,1627
ALL,wake_rel,4,tee3_par,-0.03847316226676965,0.12460771693764136,1627
ALL,wake_rel,4,surprisal,0.044982706240204465,0.09333784278735101,1627
ALL,wake_rel,4,ctee_m5,-0.009432733225541412,0.7460819845257178,1627
ALL,wake_rel,4,ntee_k100,0.18723912379678495,4.031976899488056e-12,1627
ALL,wake_rel,5,tee3_perp,0.012084761512902914,0.6968379859566791,1627
ALL,wake_rel,5,tee3_par,-0.02737063136840144,0.26087587689913116,1627
ALL,wake_rel,5,surprisal,0.018749333909202637,0.4506625961246341,1627
ALL,wake_rel,5,ctee_m5,-0.017024749899486036,0.5001115654022539,1627
ALL,wake_rel,5,ntee_k100,0.18282429667327868,5.414683311115322e-12,1627
ALL,wake_rel,6,tee3_perp,0.0414210931509052,0.20567601656665713,1627
ALL,wake_rel,6,tee3_par,-0.049853226277150005,0.04419352690823187,1627
ALL,wake_rel,6,surprisal,0.05326608407251652,0.05005258747930737,1627
ALL,wake_rel,6,ctee_m5,-0.04164758775834735,0.11417704545725964,1627
ALL,wake_rel,6,ntee_k100,0.15416851478080895,4.2129845545346234e-09,1627
ALL,wake_rel,7,tee3_perp,-0.010975876523018159,0.7331005555181717,1627
ALL,wake_rel,7,tee3_par,-0.04825528001536788,0.06550614393825405,1627
ALL,wake_rel,7,surprisal,0.0797948827167232,0.02593489949662292,1627
ALL,wake_rel,7,ctee_m5,-0.03346876116180621,0.1857894864380184,1627
ALL,wake_rel,7,ntee_k100,0.12586570560506694,2.844441613843851e-06,1627
ALL,wake_rel,8,tee3_perp,0.04379922168032574,0.1788487216007757,1627
ALL,wake_rel,8,tee3_par,-0.03980997687463007,0.10436499416058154,1627
