table,measure,target,r,p,n
posFE,mtee_k3,closure_depth,0.17679761846520234,8.177209148880483e-70,9840
posFE,mtee_k3,entropy,-0.1722989587325864,2.394571435093335e-66,9840
posFE,mtee_k3,surprisal,0.0013948431248306538,0.8900444596995093,9840
posFE,mtee_k3,tee_k3,0.4574212586531393,0.0,9840
posFE,hmag_k3,closure_depth,-0.08300675596412795,1.703200189095501e-16,9840
posFE,hmag_k3,entropy,0.12033688380120383,5.0697959438282475e-33,9840
posFE,hmag_k3,surprisal,0.03027409537115463,0.0026886349458799157,9840
posFE,hmag_k3,tee_k3,-0.06584021968414751,6.457370266198064e-11,9840
posFE,tee_in_k20,closure_depth,0.21623766016647353,2.5959726903332944e-104,9840
posFE,tee_in_k20,entropy,-0.10060566768380573,1.5746820669408938e-23,9840
posFE,tee_in_k20,surprisal,0.13039465209472156,1.6028200991103337e-38,9840
posFE,tee_in_k20,tee_k3,0.821506774691779,0.0,9840
posFE,tee_out_k20,closure_depth,-0.10192304073868398,4.1360707013284e-24,9840
posFE,tee_out_k20,entropy,0.24254830451783266,1.5086705868516698e-131,9840
posFE,tee_out_k20,surprisal,0.2600252811615268,1.4009018584029241e-151,9840
posFE,tee_out_k20,tee_k3,0.16195412797287076,9.872857500826864e-59,9840
posFE+punct,mtee_k3,closure_depth,-2.6599793572255e-05,0.9978965662216275,9840
posFE+punct,mtee_k3,entropy,-0.18045309003063176,1.0796822838297045e-72,9840
posFE+punct,mtee_k3,surprisal,-0.047979812205192526,1.955702554338167e-06,9840
posFE+punct,mtee_k3,tee_k3,0.44092305276535687,0.0,9840
posFE+punct,hmag_k3,closure_depth,-0.021182745880406625,0.035761727973636755,9840
posFE+punct,hmag_k3,entropy,0.12157246161203422,1.1396633012166314e-33,9840
posFE+punct,hmag_k3,surprisal,0.04911875170525576,1.110195422421079e-06,9840
posFE+punct,hmag_k3,tee_k3,-0.05272635063660039,1.7018221177601374e-07,9840
posFE+punct,tee_in_k20,closure_depth,0.07359760361519595,2.7921883013975325e-13,9840
posFE+punct,tee_in_k20,entropy,-0.10530657088555245,1.2390787930408506e-25,9840
posFE+punct,tee_in_k20,surprisal,0.0913956431033977,1.1151673213265123e-19,9840
posFE+punct,tee_in_k20,tee_k3,0.8205606568250869,0.0,9840
posFE+punct,tee_out_k20,closure_depth,0.09183980177735424,7.416769468748342e-20,9840
posFE+punct,tee_out_k20,entropy,0.25238688252848834,1.2880801466886106e-142,9840
posFE+punct,tee_out_k20,surprisal,0.3200898166737859,6.759467079478599e-233,9840
posFE+punct,tee_out_k20,tee_k3,0.2053820812601691,4.614451967328836e-94,9840
punct-free,mtee_k3,closure_depth,0.017508687169875106,0.10326376400586526,8674
punct-free,mtee_k3,entropy,-0.2426358951735756,2.9669447934455116e-116,8674
punct-free,mtee_k3,surprisal,-0.05654614041671736,1.3974163954042809e-07,8674
punct-free,mtee_k3,tee_k3,0.46189699715795,0.0,8674
punct-free,hmag_k3,closure_depth,0.015291043558319672,0.15477997893455747,8674
punct-free,hmag_k3,entropy,0.13573410372997294,6.8719572078295426e-37,8674
punct-free,hmag_k3,surprisal,0.04718843383718433,1.1173155825422135e-05,8674
punct-free,hmag_k3,tee_k3,-0.05984471166445269,2.499763000083182e-08,8674
punct-free,tee_in_k20,closure_depth,0.10022500054499278,8.843729092708626e-21,8674
punct-free,tee_in_k20,entropy,-0.13098398862668503,1.894203630305215e-34,8674
punct-free,tee_in_k20,surprisal,0.09691002028355729,1.590702141904564e-19,8674
punct-free,tee_in_k20,tee_k3,0.8150945954765796,0.0,8674
punct-free,tee_out_k20,closure_depth,0.09731866636213819,1.119852945759588e-19,8674
punct-free,tee_out_k20,entropy,0.2987232352915164,5.324442595525917e-178,8674
punct-free,tee_out_k20,surprisal,0.3769957582067048,1.4040113979397568e-290,8674
punct-free,tee_out_k20,tee_k3,0.23744670572069296,2.8297958435978907e-111,8674
