layer,r_closure,r_entropy,rt_beta,rt_p,wake5_beta,wake5_p
0,0.02414848466683303,0.09388664875744596,0.007868050385044933,2.2644501405885633e-35,0.09683857713072494,5.531820740722213e-05
1,0.05771497976071955,0.11671028879007757,0.004462435909170658,6.046276736789316e-15,0.08330653848607097,0.0012036071468050358
2,0.046173310935275436,0.1591151443189867,0.003748289170688913,5.274570509663659e-10,0.08219342334236225,0.0016827303607778801
3,0.04214284335981157,0.16271936866589257,0.0024685554321123987,2.837095839758022e-05,0.08790185620909928,0.001450756042941424
4,0.06646198423647537,0.16228728993043381,0.00024261457055370014,0.6611942037195753,0.09143154422646455,0.001574755223669839
5,0.06298698503835658,0.18717087812494626,-0.00011247934775750201,0.8424944857230223,0.07214135853670882,0.008772284497051716
6,0.04983041230144196,0.16145694437300617,0.00011128124768945008,0.8475418532469465,0.11736417538827022,3.1686694680659216e-06
7,0.06846678114571496,0.18068360305911554,0.002268147822588957,0.00014271329753999418,0.18054047307775847,6.5783492134287684e-12
8,0.037292222094774716,0.1216928566583738,-0.0002104903295576388,0.7269848693562795,0.21108496066110743,6.8424430699492e-17
9,-0.0004443138013889594,0.09747490526529082,-0.00042579880994896013,0.4589512065476663,0.27059033896747564,1.0701201086897479e-23
10,0.016099657236907802,0.014905324429175415,-0.0017822165200164358,0.0017182933268077138,0.23713095511125482,4.0788574194606144e-20
11,0.012719869137306715,-0.023420688801037454,-0.001354802066844813,0.015125292389361255,0.21414871534657023,1.3906336965869247e-16
12,-0.027999686336497097,-0.2493493586959092,0.0005088413558960217,0.3364909685141819,0.0419626095987014,0.10027724088402751
