story_id,sent_uid,text
1,1,that hummed and clattered spun wool into money for the long-bearded mill owners.
1,2,"That all mill owners were generally busy as beavers and quite pleased with themselves for being so successful and well off was known to the residents of Bradford, and if you were to go into the city to visit the stately City Hall, you would see there the Crest of the City of Bradford, which those same mill owners created to celebrate their achievements."
1,3,"It shows a sinister looking boar's head sitting on top of a well which seems puzzling at first, but the reason for this symbol is a matter of legend."
1,4,"There was once, legend has it, a fearsome boar, which lived in a wood located just outside the manor of Bradford."
1,5,"A source of great trouble to the local folk the boar was, bringing terror to the peaceful flocks and ravaging the countryside around."
1,6,"Even worse, however, the boar most liked to go to the well that was in the wood and drink its fresh water, so that the people of Bradford had second thoughts about visiting the well."
1,7,That the people of Bradford bore the brunt of the beast's ferocity was unfair in the eyes of the people of the region.
1,8,"Eventually, the issue reached the ears of the kindly Lord of the Manor who the people had often asked for help."
1,9,The Lord saw the severity of the problem the people faced and suggested a contest could solve the problem.
1,10,He said that whoever could kill the boar and bring as proof its head to the Manor House would be rewarded with land and fame.
1,11,It was the people of Bradford and the people who knew them who rejoiced at this proclamation but one question remained: who would kill the boar?
1,12,"By the handsome reward many felt tempted, but the thought of the boar with its deadly tusks and face like thunder soon put an end to their ambitions."
1,13,"However, there was one huntsman, who was still wet behind the ears, who decided the prize was worth a shot, in spite of the boar's reputation."
1,14,The huntsman discovered the boar preferred to come out in the middle of the day.
1,15,"So he went to the wood by the well with his good bow, to bide his time."
1,16,"Around noontime, the boar, feared by the locals, came out, as slow as a snail, from among the trees, just as the huntsman had predicted."
1,17,The huntsman leaped from his hiding place and through the heart with his fine arrows shot the boar.
1,18,Now the problem was no longer to kill the boar.
1,19,It was to find a way to carry the boar back.
1,20,"The head was too heavy for the little huntsman to carry back to the Manor House, but the huntsman, who was as quick-witted and cunning as ever, asked himself, 'What else can I do to prove I killed the boar?'"
1,21,"The next instance he opened the boar's mouth and cut out its tongue, taking that as proof for the Lord."
1,22,"He set out for the Manor House as quickly as he could and he had only been gone a few minutes when a second huntsman, not so bold as the first but a little more cunning, came on the scene."
1,23,"Seeing the slain carcass of the boar, the huntsman rejoiced in his good fortune."
1,24,"The second huntsman knew a shortcut to the Manor House was just around the nearby pond, and, being a bigger man than the first, was able to pick up the boar's head and carry it through the wood towards the prize that awaited him."
1,25,The Lord of the Manor was seated in his hall when the second huntsman burst through the door and began to spin a line.
1,26,'The woes of Bradford are ended!'
1,27,he announced.
1,28,'With my own hand I have slain the boar!'
1,29,"And, with that, at the feet of his lord he dropped the boar's enormous head."
1,30,"'Then you will be rewarded, as I promised.'"
