conv_id,speaker,word_pos,pause_ms,pause_mark,pause_len,iu_len,iu_len_prev,on
1,1_LENORE,10,0.0,0,0,1,10,9.21
1,1_LENORE,11,0.0,1,3,4,1,9.52
1,1_LENORE,15,0.0,1,3,3,4,14.1
1,1_LYNNE,19,0.0,0,0,6,1,16.78
1,1_LYNNE,25,9.99999999999801,0,0,2,6,18.33
1,1_LYNNE,27,0.0,1,3,1,2,18.85
1,1_DORIS,29,0.0,0,0,1,1,21.19
1,1_LYNNE,41,0.0,0,0,5,7,24.25
1,1_LYNNE,46,0.0,0,0,4,5,25.07
1,1_LYNNE,50,0.0,1,2,3,4,26.14
1,1_LYNNE,53,0.0,0,0,2,3,26.62
1,1_LYNNE,55,0.0,0,0,6,2,26.87
1,1_LYNNE,61,0.0,1,3,3,6,28.37
1,1_LYNNE,64,0.0,1,3,2,3,30.1
1,1_LYNNE,66,0.0,0,0,1,2,32.36
1,1_LYNNE,67,0.0,0,0,7,1,32.59
1,1_LYNNE,74,0.0,0,0,3,7,33.9
1,1_LYNNE,77,0.0,0,0,5,3,34.22
1,1_LYNNE,82,0.0,1,3,5,5,35.23
1,1_LYNNE,87,0.0,0,0,10,5,36.88
1,1_LYNNE,97,0.0,1,2,2,10,39.3
1,1_LYNNE,99,0.0,1,2,2,2,39.8
1,1_LYNNE,101,0.0,1,2,1,2,40.27
1,1_LYNNE,102,0.0,0,0,5,1,41.39
1,1_LYNNE,107,0.0,0,0,4,5,42.84
1,1_LYNNE,111,0.0,0,0,3,4,43.66
1,1_LYNNE,114,0.0,0,0,3,3,44.2
1,1_LYNNE,117,0.0,1,2,3,3,44.92
1,1_LYNNE,120,0.0,0,0,7,0,48.0
1,1_LYNNE,127,0.0,0,0,3,7,48.96
1,1_LYNNE,130,0.0,0,0,6,3,49.39
1,1_LYNNE,136,0.0,0,0,2,6,50.39
1,1_LYNNE,138,0.0,1,3,15,2,50.84
1,1_LYNNE,153,0.0,1,2,6,15,53.79
1,1_LYNNE,159,0.0,1,2,5,6,56.79
1,1_LYNNE,175,140.00000000000057,1,3,1,1,60.06
