meeting,speaker,word_pos,pause_ms,seg_len,seg_len_prev,prev_end
EN2001a,EN2001a.A,90,2190.000000000005,7,30,40.05
EN2001a,EN2001a.A,7699,1480.0000000000182,6,11,2347.74
EN2001a,EN2001a.A,7956,1250.0,14,1,2447.94
EN2001a,EN2001a.B,11026,1360.0000000001273,2,13,3402.15
EN2001a,EN2001a.B,13585,1690.0000000005093,3,59,4292.44
EN2001a,EN2001a.B,13658,2539.9999999999636,3,35,4326.79
EN2001a,EN2001a.B,13661,1190.0000000005093,1,3,4330.32
EN2001a,EN2001a.B,13662,2119.999999999891,27,1,4332.14
EN2001a,EN2001a.B,14819,1220.0000000002547,5,5,4686.88
EN2001a,EN2001a.B,14824,1729.9999999995634,8,5,4689.25
EN2001a,EN2001a.B,14845,1239.9999999997817,3,5,4699.1
EN2001a,EN2001a.C,5365,2609.9999999999,5,6,1636.15
EN2001a,EN2001a.C,8853,1460.0000000000364,1,23,2736.29
EN2001a,EN2001a.C,8854,1900.000000000091,19,1,2737.99
EN2001a,EN2001a.C,11541,1289.9999999999636,1,20,3570.77
EN2001a,EN2001a.D,5152,2060.000000000173,3,11,1561.86
EN2001a,EN2001a.D,5155,1450.0000000000455,21,3,1565.85
EN2001a,EN2001a.D,6313,1339.9999999999181,11,24,1940.41
EN2001a,EN2001a.D,7049,2019.9999999999818,21,5,2145.68
EN2001a,EN2001a.D,8167,1250.0,13,15,2509.62
EN2001a,EN2001a.D,8328,2809.9999999999454,6,5,2568.03
EN2001a,EN2001a.D,9912,3200.000000000273,35,45,3061.37
EN2001a,EN2001a.D,10132,1720.0000000002547,8,28,3123.79
EN2001a,EN2001a.D,11478,2539.9999999999636,5,31,3547.92
EN2001a,EN2001a.D,11654,1469.9999999998,11,10,3608.05
EN2001a,EN2001a.D,11665,1530.0000000002,59,11,3615.81
EN2001a,EN2001a.D,11779,3449.999999999818,10,6,3658.59
EN2001a,EN2001a.D,11789,1730.0000000000182,100,10,3664.44
EN2001a,EN2001a.D,11930,2820.0000000001637,3,14,3712.58
EN2001a,EN2001a.D,12615,2640.0000000003274,9,25,3959.2
EN2001a,EN2001a.D,12678,3369.999999999891,25,52,3981.81
EN2001a,EN2001a.D,12755,2210.0000000000364,4,51,4006.07
EN2001a,EN2001a.D,12759,1359.9999999996726,7,4,4010.11
EN2001a,EN2001a.D,12900,2089.9999999996908,29,19,4055.34
EN2001a,EN2001a.D,12929,2179.9999999998363,14,29,4065.82
EN2001a,EN2001a.D,13304,4350.000000000364,23,17,4202.37
EN2001a,EN2001a.E,3,4470.000000000001,1,1,6.01
EN2001a,EN2001a.E,336,1709.9999999999936,42,77,112.89
EN2001a,EN2001a.E,379,2460.000000000008,103,42,126.65
EN2001a,EN2001a.E,743,1759.999999999991,2,54,250.49
EN2001a,EN2001a.E,1047,1670.000000000016,153,17,347.15
EN2001a,EN2001a.E,1251,3389.9999999999864,94,29,408.29
EN2001a,EN2001a.E,1345,1459.9999999999795,167,94,442.42
EN2001a,EN2001a.E,1520,1910.000000000025,25,167,484.7
EN2001a,EN2001a.E,1811,2049.9999999999545,7,27,574.0
EN2001a,EN2001a.E,2089,1850.0000000000227,83,18,660.47
EN2001a,EN2001a.E,2488,1960.0000000000364,2,60,764.53
EN2001a,EN2001a.E,2736,2259.999999999991,102,14,829.94
EN2001a,EN2001a.E,3163,4329.999999999927,33,57,944.46
EN2001a,EN2001a.E,3681,3019.999999999982,33,1,1080.63
EN2001a,EN2001a.E,3763,1769.9999999999818,50,6,1118.35
EN2001a,EN2001a.E,4078,1679.9999999998363,7,50,1219.92
EN2001a,EN2001a.E,4085,1900.000000000091,65,7,1225.74
EN2001a,EN2001a.E,4150,1769.9999999999818,11,65,1251.53
EN2001a,EN2001a.E,4640,3350.0000000001364,14,48,1402.09
EN2001a,EN2001a.E,4654,1759.999999999991,5,14,1409.93
EN2001a,EN2001a.E,4659,2269.999999999982,33,5,1413.14
EN2001a,EN2001a.E,4727,1909.9999999998545,1,23,1436.43
EN2001a,EN2001a.E,4728,1519.9999999999818,1,1,1438.66
EN2001a,EN2001a.E,4729,1390.0000000001,24,1,1441.0
EN2001a,EN2001a.E,4790,1609.9999999999,97,22,1462.0
EN2001a,EN2001a.E,5082,2349.999999999909,58,130,1537.75
EN2001a,EN2001a.E,5209,3289.9999999999636,107,9,1585.02
EN2001a,EN2001a.E,5624,1840.0000000001455,54,23,1717.57
EN2001a,EN2001a.E,6011,1769.9999999999818,1,19,1846.92
EN2001a,EN2001a.E,6164,1839.9999999999181,59,1,1894.18
EN2001a,EN2001a.E,6223,1610.0000000001273,65,59,1914.54
