participant,n,beta,p
A117RW2F1MNBQ8,4966,0.004242183058347872,0.19715925915344426
A11AUVZ4MCA7VU,9805,0.0007998391734263532,0.8076226217232229
A11C7PRG75IWO0,4836,-9.762718499138623e-06,0.9982986712561484
A11GA4B4SEYK44,4024,0.00566829970392721,0.17055460439144637
A11KMPAZSE5Q0Q,4968,0.0012284739552918533,0.666210559142262
A127R5QI5OGBIK,4962,0.0029597541353227168,0.3676880868427045
A12QOWM20FCN2Q,963,0.0005524905119019714,0.9451039544913887
A13YITU82HLBRK,4848,0.005552672862950442,0.11416074093339439
A14N0AMVXOBZYH,4968,0.004372031381067943,0.05315064626309351
A14SNQOYGXPZ7K,316,0.025264773028711933,0.1069993307647918
A14WWG6NKBDWGP,4234,-0.004852083553274433,0.45233528029418724
A15QI1G4FCMV5E,4960,-0.0011933627758587036,0.702286809049553
A1DQ7T6BB0VJDP,4853,0.005920398538164527,0.09470021155744729
A1E3RC5YPKVB4F,942,-0.007501232204833397,0.4206740732373393
A1FJ2AUFVA4PIW,4845,0.0018475384885580717,0.6075769742077205
A1FNEVG87BS5K0,3897,-0.00021140899472520472,0.9363318919102176
A1GAARR4GOOZCO,2960,0.006385301240030512,0.2923287971895394
A1H314LD953G5Q,4967,0.01567776411796707,0.0017222309710595565
A1INWCFGQI236V,4851,0.003537749440056241,0.2862355267553344
A1IWL4WQTKN1PR,4958,0.012016503953487127,0.00240467739056764
A1J8TVICSRC70W,3914,0.0036598627368655545,0.3081071658757045
A1JBTEJN14MFFA,4968,0.00469477060138835,0.07155633461831501
A1JGQHSSW8L24P,4852,0.003352047572053936,0.530246395924812
A1JY8OZHGDL9GR,4962,-0.006067259316184719,0.19254303242701554
A1LDS7FXQNGLEN,4969,-0.003582593437277265,0.21663458763000426
A1M7SLIGEI3IH5,4848,0.01717430751617513,0.002743814347001792
A1P8M5BKOTAA8I,1423,0.01650001131604964,0.12347832198485142
A1RCM1Y87J0FGW,4850,0.005620160874124772,0.13824562916092967
A1RE0RBV10VAVC,4944,0.0055321716359647884,0.21246893261350713
A1RWNYJA5X25YH,4968,0.0017569959378707298,0.4374022190269107
A1S8D4HVA9HI0X,3953,0.013382052786612517,0.0018779633228625167
A1SVVVJWT7H51V,3911,0.01592266875306192,0.0005272107542728871
A1SYR0UUMZM2VH,4952,0.0029769026235232088,0.4844916022474485
A1U1QL617G5DU3,4967,-0.0011053164551395878,0.7515847900247759
A1VXGA62J77RO,9824,0.00439579876212823,0.11036377419906931
A1W079WCHEQKX6,4954,0.0032016054030555227,0.4903872704874569
A1WNHQEMEHNCPT,4824,0.0025259125931134385,0.5083723168318118
A1WURYN1U64Y1T,4763,0.0005105967159004486,0.8903161240604424
A1WXZPUAXDE0DQ,4969,0.011444431296052535,0.0026435184228473176
A2068Z6G94OAGH,3001,0.0020947279060591906,0.6153051816677374
A21L2ZM379FG7,4969,0.0005468535160763066,0.8723128165935115
A21TTUZSQ5ZE6C,3914,0.022190859826640354,0.004619736783123191
A23PSX2ZO4F65Q,4953,-0.003989446909307658,0.23436722548929992
A253Q11TZPQPIZ,3905,-0.002736631579197634,0.3516441262410007
A25OW5OQG4B8FR,4503,-0.0003692259387883187,0.9374468275312402
A26LA7PUZG0N8S,4965,0.006240018307250721,0.08716239760423936
A279TEENVAAZNB,3901,-0.001244869815028353,0.7752525313364697
A289P9QG98HRAZ,3894,0.016401254073107836,0.0016102649442331194
A29FWCDRAWIM8K,3894,0.0017077961443814627,0.7155336787222103
A29Y6BVD19FBAE,4859,0.0006402329879220264,0.7891818182996967
A2AB80GWC0LU0P,4961,0.008032451909279682,0.03150322420845212
A2AEA24UF8Z47U,4849,-0.00021791388781153276,0.9736628503925172
A2BET78ZNEHNHE,992,0.0052657172115253,0.6415498068724761
A2BJ35SLVKCUL7,4939,0.0046059987914293145,0.26842421233492375
A2BJELRJ9N4NA5,4844,0.0019440800472526262,0.48177929064929653
A2BNOEYZ3VRW2R,4819,-0.010078596457395991,0.05625466171730357
A2DGJ8T7C3HMCQ,4961,0.011465289186364538,0.03156679355908279
A2EAIMII6MSIO5,4957,0.004420057931013206,0.3904087710151831
A2FZ90AHSTSHXA,3463,0.016116694854496086,0.00866299972236972
A2GNS1SQLQNMR2,4969,-0.0027201130668090857,0.33762894879123917
A2HS4FQ4DR4GIK,4961,0.002138100881043617,0.6064818028564392
A2I2OHYPL49ZAI,4957,0.003391535201950336,0.6255425621323762
A2I6WWFA5KE0MS,4802,0.00805399201703437,0.12547764904109887
A2JKCS6UCAUARS,3674,-0.0013088010801575907,0.8195994491357224
A2JRWVPVWD1KAS,9810,0.0008179764720467695,0.8059547778497389
A2L54KVSIY1GOM,732,0.006912270792249247,0.557052382688555
A2L6GS9A2MMQK4,4919,-0.001348474150281935,0.70102481380267
A2LFVSF501ZT5W,4856,-0.002021819962325394,0.4540453696498153
A2LFX0LP92GLCQ,4958,0.002070776095620293,0.5949616032289187
A2MSCP411YP41Q,7948,0.0037781853944093852,0.3941720684042163
A2MVFSJBKHUPH9,9822,0.0051911919353146985,0.009670077088146205
A2N5QS96KRPFVO,2013,0.007063785087397231,0.19875675665028486
A2NJGU26SOMOKV,4957,0.009628128330550755,0.004383935136750611
A2O7F23PZP1T9B,3948,0.0019683865758682376,0.7522275156627556
A2OIFE4TAQ7AEI,3952,-0.000209179780406632,0.9574655026531976
A2PE5UDQ5WG2R0,3937,-0.002856671645990759,0.4972916836182708
A2PURNW8W7L0LT,4856,0.014840224696813918,0.0021486277331741427
A2RPQGUWVZPX7U,4969,0.0040159993556747355,0.294348667338619
A2TG01V56PAL65,4959,0.0008243629212340529,0.7904176391586768
A2TJHKHM8T2SV3,9797,0.0009365388819378073,0.7278301525783984
A2U750ON775R3L,9830,0.0019423152191587792,0.41250373893796943
A2UODR1DE3DXTT,4855,0.004964851443120061,0.19556603468797937
A2V1ZN7OXOH7J4,3880,-0.010352153546918024,0.016826116082511968
A2VAMUTJ9WGI4P,4859,-0.0015684667515891842,0.48789484584881315
A2VCTDV17CKH2X,4930,0.006482154528556385,0.012128891203464989
A2XJRU950S5J87,4845,0.003361427978136808,0.37639435114188424
A2XKIJJPWTOQ5Z,4967,0.01103761149614526,0.007508793536289877
A2XPQ8KYFKI6FD,4963,0.006494145890994493,0.05588679237437428
A2XYF4PPQETJYX,4852,0.012861752259251666,0.003604759332304161
A312SMYBQW6E0W,691,0.009462285653516391,0.4152369109342246
A32WFJGJ0VUKOO,4770,-0.0017893846254694971,0.6325211626875511
A33V10XAI3IWXS,4843,-0.010996718831472206,0.021390062828690628
