participant,n,beta,p
A117RW2F1MNBQ8,4971,0.004491216156020824,0.27146769752781125
A11AUVZ4MCA7VU,9815,0.004427979850632157,0.19091433348363138
A11C7PRG75IWO0,4841,0.000898950624595881,0.8568766348425015
A11GA4B4SEYK44,4028,0.0021878385139705164,0.6253002735835719
A11KMPAZSE5Q0Q,4973,0.0015791028892603205,0.6041765802456392
A127R5QI5OGBIK,4967,0.0027569318540707974,0.52330209477223
A12QOWM20FCN2Q,964,0.0003572013154992254,0.9656525383980934
A13YITU82HLBRK,4853,0.007564228600256014,0.065769326019485
A14N0AMVXOBZYH,4973,0.0020679238077803627,0.5595979544097188
A14SNQOYGXPZ7K,321,0.023936479699499063,0.1620343430810276
A14WWG6NKBDWGP,4239,0.005062970908044341,0.4994885842451111
A15QI1G4FCMV5E,4965,-0.0005420105244138065,0.8729681559556727
A1DQ7T6BB0VJDP,4858,0.007453248479020694,0.046065931083140686
A1E3RC5YPKVB4F,943,-0.001522615663904353,0.8861247603610828
A1FJ2AUFVA4PIW,4850,0.0033277862690313867,0.363250405841055
A1FNEVG87BS5K0,3901,5.8518394206442254e-05,0.9837532982707632
A1GAARR4GOOZCO,2963,0.004839222698090853,0.44241544583047476
A1H314LD953G5Q,4972,0.019991680484460286,0.00022223437385495345
A1INWCFGQI236V,4856,0.004921704361002421,0.1881085849282987
A1IWL4WQTKN1PR,4963,0.012698436341404055,0.0031407160319282274
A1J8TVICSRC70W,3918,0.00524814792789946,0.18036052093072008
A1JBTEJN14MFFA,4973,0.007095396440901437,0.009608322332650876
A1JGQHSSW8L24P,4857,0.0034065644197196175,0.5452767074245701
A1JY8OZHGDL9GR,4967,-0.006496902813630762,0.17305935789745033
A1LDS7FXQNGLEN,4974,-0.0024146455149282806,0.43239512022465204
A1M7SLIGEI3IH5,4853,0.020659783644947874,0.00037315529440769333
A1P8M5BKOTAA8I,1426,0.029627976997655986,0.040123900537684325
A1RCM1Y87J0FGW,4855,0.007068252218707449,0.06604141015128005
A1RE0RBV10VAVC,4949,0.008673737324338782,0.06799905094805113
A1RWNYJA5X25YH,4973,0.003432236643823139,0.2466439116970237
A1S8D4HVA9HI0X,3957,0.015988392537634573,0.0003089808095818726
A1SVVVJWT7H51V,3915,0.023404167051163657,2.195163029095876e-05
A1SYR0UUMZM2VH,4957,0.0019965687248319,0.6678275427246109
A1U1QL617G5DU3,4972,0.0002358072770765815,0.9485643212505682
A1VXGA62J77RO,9834,0.0029271037664782558,0.3361864622046513
A1W079WCHEQKX6,4959,0.0073227599407210825,0.1424444667221551
A1WNHQEMEHNCPT,4829,-0.005692031155600869,0.2703437081703895
A1WURYN1U64Y1T,4768,0.0025858147663959594,0.5074990280597987
A1WXZPUAXDE0DQ,4974,0.012700335092139848,0.00534122959506773
A2068Z6G94OAGH,3004,0.0023073481654716926,0.5940104112632876
A21L2ZM379FG7,4974,0.001958586122801708,0.6293215903170296
A21TTUZSQ5ZE6C,3918,0.023961022503074716,0.0027925444906634713
A23PSX2ZO4F65Q,4958,-0.0011041644607370747,0.7632024286731032
A253Q11TZPQPIZ,3909,-0.0043103781403380816,0.15316063259050444
A25OW5OQG4B8FR,4508,-2.5527221158578445e-05,0.9961364742527277
A26LA7PUZG0N8S,4970,0.007575943890076646,0.08667833858795083
A279TEENVAAZNB,3905,-0.0003431279445796744,0.9376325841310005
A289P9QG98HRAZ,3898,0.027827395392589875,4.3179056858953744e-05
A29FWCDRAWIM8K,3898,0.0027026320409160327,0.5801037300377828
A29Y6BVD19FBAE,4864,0.0002901929788012708,0.9196378655822437
A2AB80GWC0LU0P,4966,0.010331377499972118,0.007711051882490964
A2AEA24UF8Z47U,4854,0.006677550644503798,0.3277370375441891
A2BET78ZNEHNHE,993,0.014460431796130019,0.24132406086071054
